id	name	type_etablissement	nb_etablissements	funnel_stage	address	phone	linkedin_url	DUI	employees	tagline	summary	notes	next_action	created_by	created_at	updated_by	updated_at	website	industry	uses_netsoins	score_icp	city	region	country	Numéro Finess	Typologie	Groupe	Téléphones Clean Export	Mail	Adresse	Code postal	Ville	Département	Total de lits	Estimation Lits	Chambres simples	Chambres doubles	Place	Taille d'établissement	Prix minimum mensuel	CA Hébergement annuel	% Places APA
les-jardins-de-provence	Les Jardins de Provence	Groupe	9	Premier contact		04 94 24 31 59		Inconnu		EHPAD 66 lits à Six-Fours-les-Plages, groupe Alliage Care	EHPAD 66 lits (dont 12 unité Alzheimer). Groupe Alliage Care (ex-Philogéris).	NETSoins: Inconnu — aucune mention vérifiable trouvée sur le site du groupe 'Alliage Care' ni dans la presse spécialisée (recherche juin 2026).	Établir le premier contact avec Séverine Guérin	Claude	2026-05-27	Claude	2026-05-27	https://www.alliagecare.fr	EHPAD	Inconnu	1	Six-Fours-les-Plages	Provence-Alpes-Côte d'Azur	France	830201083	Privé commercial	Alliage Care	+33494243159				Six-Fours-les-Plages	83	73					Moyen	3 386,70 €		
le-verger-de-vincennes	Le Verger de Vincennes	Groupe	50	Premier contact	21 avenue des Murs du Parc, 94300 Vincennes	01 49 57 27 00	https://fr.linkedin.com/company/groupe-lna-sante	NETSoins		EHPAD 107 lits à Vincennes, groupe LNA Santé	EHPAD 107 lits (102 permanents dont 44 Alzheimer + 5 temporaires). Groupe LNA Santé (~10 sites IDF).	NETSoins: Oui — source: champ DUI='NETSoins' renseigné manuellement dans le CRM lors d'une vérification terrain (2026-05-27).	Établir le premier contact avec Margaux Malandain	Claude	2026-05-27	Claude	2026-05-27	https://www.lna-sante.com	EHPAD	Oui	2	Vincennes	Île-de-France	France	940003858	Privé commercial	Le Noble Âge Retraite	+33149572700		21 avenue des Murs du Parc, 94300 Vincennes	94300	Vincennes	94	106					Grand	5 115,90  €		
residence-gerhome-courbevoie	Résidence Ger'Home	Groupe	50	Premier contact	23 rue Jules Lefèvre, 92400 Courbevoie	01 47 89 47 89	https://fr.linkedin.com/company/groupe-lna-sante	NETSoins		EHPAD 106 lits à Courbevoie, groupe LNA Santé	EHPAD 106 lits (+ accueil de jour). Groupe LNA Santé à Courbevoie (92).	NETSoins: Oui — source: champ DUI='NETSoins' renseigné manuellement dans le CRM lors d'une vérification terrain (2026-05-27).	Confirmer identité directrice (Nadia Issad) et établir le premier contact	Claude	2026-05-27	Claude	2026-05-27	https://www.lna-sante.com	EHPAD	Oui	2	Courbevoie	Île-de-France	France	920000155	Privé commercial	Le Noble Âge Retraite	+33147894789		23 rue Jules Lefèvre, 92400 Courbevoie	92400	Courbevoie	92	106					Grand	5 071,50  €		
arcade-de-fontenay	Résidence Arcade de Fontenay	Groupe	50	Premier contact	128 rue Boucicaut, 92260 Fontenay-aux-Roses	01 41 13 30 00	https://fr.linkedin.com/company/groupe-lna-sante	NETSoins		EHPAD 75 lits à Fontenay-aux-Roses, groupe LNA Santé	EHPAD 75 lits (59 ouverts + 16 Alzheimer, 5 unités). Groupe LNA Santé.	NETSoins: Oui — source: champ DUI='NETSoins' renseigné manuellement dans le CRM lors d'une vérification terrain (2026-05-27).	Établir le premier contact avec Ahmet Gozel	Claude	2026-05-27	Claude	2026-05-27	https://www.lna-sante.com	EHPAD	Oui	2	Fontenay-aux-Roses	Île-de-France	France	920814399	Privé commercial	LNA Santé	+33141133000		128 rue Boucicaut, 92260 Fontenay-aux-Roses	92260	Fontenay-aux-Roses	92	70					Moyen	3 721,50 €		
villa-concorde-asnieres	Villa Concorde	Groupe	16	Premier contact	21 rue de la Concorde, 92600 Asnières-sur-Seine	01 41 32 88 00	https://www.linkedin.com/company/maisons-de-famille/	Inconnu		EHPAD 85 lits à Asnières-sur-Seine, groupe Maisons de Famille	EHPAD 85 lits (dont 23 Alzheimer). Groupe Maisons de Famille (16 sites).	NETSoins: Inconnu — aucune mention vérifiable trouvée sur le site du groupe 'Maisons de Famille' ni dans la presse spécialisée (recherche juin 2026).	Appeler le 01 41 32 88 00 pour identifier le directeur/la directrice (Villa Concorde)	Claude	2026-05-27	Claude	2026-05-27	https://www.maisons-de-famille.fr	EHPAD	Inconnu	1	Asnières-sur-Seine	Île-de-France	France	920803103	Privé commercial	Maisons de Famille	+33141328800		21 rue de la Concorde, 92600 Asnières-sur-Seine	92600	Asnières-sur-Seine	92	85					Moyen	4 831,50 €		
villa-lecourbe-paris	Villa Lecourbe	Groupe	16	Premier contact	286 rue Lecourbe, 75015 Paris	01 72 36 11 00	https://www.linkedin.com/company/maisons-de-famille/	Inconnu		EHPAD 45 lits Paris 15e, groupe Maisons de Famille	EHPAD 45 lits. Groupe Maisons de Famille (16 sites).	NETSoins: Inconnu — aucune mention vérifiable trouvée sur le site du groupe 'Maisons de Famille' ni dans la presse spécialisée (recherche juin 2026).	Établir le premier contact avec Elena Khabi	Claude	2026-05-27	Claude	2026-05-27	https://www.maisons-de-famille.fr	EHPAD	Inconnu	1	Paris	Île-de-France	France	750017808	Privé commercial	Maisons de Famille	+33172361100		286 rue Lecourbe, 75015 Paris	75015	Paris	75	45					Petit	7 742,40 €		
repotel-paris-gambetta	EHPAD Repotel Paris Gambetta	Groupe	9	Premier contact	161/163 avenue Gambetta, 75020 Paris			OSIRIS		EHPAD 80 lits à Paris, groupe Clinalliance	EHPAD du groupe Clinalliance (ex-Repotel), Paris 20e	NETSoins: Non — source: champ DUI='OSIRIS' (logiciel concurrent) renseigné dans le CRM (2026-05-27) ; établissement non équipé NETSoins.	Établir le premier contact avec Julie Gaillard	Claude	2026-05-27			https://www.clinalliance.fr	EHPAD	Non	1	Paris	Île-de-France	France	750003972	Privé commercial	Clinalliance			161/163 avenue Gambetta, 75020 Paris	75020	Paris	75	80					Moyen	3 812,40 €		
repotel-gennevilliers	EHPAD Repotel Gennevilliers	Groupe	9	Premier contact	49 rue du Pont d'Argenteuil, 92230 Gennevilliers			OSIRIS		EHPAD 74 lits à Gennevilliers, groupe Clinalliance	EHPAD du groupe Clinalliance (ex-Repotel), Gennevilliers (92)	NETSoins: Non — source: champ DUI='OSIRIS' (logiciel concurrent) renseigné dans le CRM (2026-05-27) ; établissement non équipé NETSoins.	Établir le premier contact avec Marie Léonard	Claude	2026-05-27			https://www.clinalliance.fr	EHPAD	Non	1	Gennevilliers	Île-de-France	France	920711967	Privé commercial	Clinalliance			49 rue du Pont d'Argenteuil, 92230 Gennevilliers	92230	Gennevilliers	92	74					Moyen	3 034,50 €		
repotel-issy-les-moulineaux	EHPAD Repotel Issy-les-Moulineaux	Groupe	9	Premier contact	23 avenue Jean Jaurès, 92130 Issy-les-Moulineaux			OSIRIS		EHPAD 88 lits à Issy-les-Moulineaux, groupe Clinalliance	EHPAD du groupe Clinalliance (ex-Repotel), Issy-les-Moulineaux (92)	NETSoins: Non — source: champ DUI='OSIRIS' (logiciel concurrent) renseigné dans le CRM (2026-05-27) ; établissement non équipé NETSoins.	Identifier le prénom de Mme Guhennec et établir le premier contact	Claude	2026-05-27			https://www.clinalliance.fr	EHPAD	Non	1	Issy-les-Moulineaux	Île-de-France	France	920710670	Privé commercial	Clinalliance			23 avenue Jean Jaurès, 92130 Issy-les-Moulineaux	92130	Issy-les-Moulineaux	92	88					Moyen	3 994,50 €		
repotel-maurepas	EHPAD Repotel Maurepas	Groupe	9	Premier contact	Square de la Puisaye, 78310 Maurepas			OSIRIS		EHPAD 78 lits à Maurepas, groupe Clinalliance	EHPAD du groupe Clinalliance (ex-Repotel), Maurepas (78)	NETSoins: Non — source: champ DUI='OSIRIS' (logiciel concurrent) renseigné dans le CRM (2026-05-27) ; établissement non équipé NETSoins.	Établir le premier contact avec Giulia Mitri	Claude	2026-05-27			https://www.clinalliance.fr	EHPAD	Non	1	Maurepas	Île-de-France	France	780802138	Privé commercial	Clinalliance			Square de la Puisaye, 78310 Maurepas	78310	Maurepas	78	78					Moyen	3 209,10 €		
repotel-voisins-le-bretonneux	EHPAD Repotel Voisins-le-Bretonneux	Groupe	9	Premier contact	38 rue aux Fleurs, 78960 Voisins-le-Bretonneux			OSIRIS		EHPAD 74 lits à Voisins-le-Bretonneux, groupe Clinalliance	EHPAD du groupe Clinalliance (ex-Repotel), Voisins-le-Bretonneux (78)	NETSoins: Non — source: champ DUI='OSIRIS' (logiciel concurrent) renseigné dans le CRM (2026-05-27) ; établissement non équipé NETSoins.	Établir le premier contact avec Giulia Martin-Mitri	Claude	2026-05-27			https://www.clinalliance.fr	EHPAD	Non	1	Voisins-le-Bretonneux	Île-de-France	France	780823928	Privé commercial	Clinalliance			38 rue aux Fleurs, 78960 Voisins-le-Bretonneux	78960	Voisins-le-Bretonneux	78	74					Moyen	3 389,40 €		
repotel-marcoussis	EHPAD Repotel Marcoussis	Groupe	9	Premier contact	30 rue Moutard Martin, 91460 Marcoussis			OSIRIS		EHPAD 64 lits à Marcoussis, groupe Clinalliance	EHPAD du groupe Clinalliance (ex-Repotel), Marcoussis (91)	NETSoins: Non — source: champ DUI='OSIRIS' (logiciel concurrent) renseigné dans le CRM (2026-05-27) ; établissement non équipé NETSoins.	Établir le premier contact avec Myriam Bureau	Claude	2026-05-27			https://www.clinalliance.fr	EHPAD	Non	1	Marcoussis	Île-de-France	France	910808682	Privé commercial	Clinalliance			30 rue Moutard Martin, 91460 Marcoussis	91460	Marcoussis	91	64					Moyen	3 085,80 €		
repotel-brunoy	EHPAD Repotel Brunoy	Groupe	9	Premier contact	3 rue des Godeaux, 91800 Brunoy			OSIRIS		EHPAD 80 lits à Brunoy, groupe Clinalliance	EHPAD du groupe Clinalliance (ex-Repotel), Brunoy (91)	NETSoins: Non — source: champ DUI='OSIRIS' (logiciel concurrent) renseigné dans le CRM (2026-05-27) ; établissement non équipé NETSoins.	Établir le premier contact avec Raphaëlle Redois	Claude	2026-05-27			https://www.clinalliance.fr	EHPAD	Non	1	Brunoy	Île-de-France	France	910700426	Privé commercial	Clinalliance			3 rue des Godeaux, 91800 Brunoy	91800	Brunoy	91	80					Moyen	2 994,90 €		
repotel-lieusaint	EHPAD Repotel Lieusaint	Groupe	9	Premier contact	12 allée Perce Neige, 77127 Lieusaint			OSIRIS		EHPAD 81 lits à Lieusaint, groupe Clinalliance	EHPAD du groupe Clinalliance (ex-Repotel), Lieusaint (77)	NETSoins: Non — source: champ DUI='OSIRIS' (logiciel concurrent) renseigné dans le CRM (2026-05-27) ; établissement non équipé NETSoins.	Établir le premier contact avec Mélanie Savignat	Claude	2026-05-27			https://www.clinalliance.fr	EHPAD	Non	1	Lieusaint	Île-de-France	France	770815223	Privé commercial	Clinalliance			12 allée Perce Neige, 77127 Lieusaint	77127	Lieusaint	77	81					Moyen	3 061,80 €		
repotel-savigny-le-temple	EHPAD Repotel Savigny-le-Temple	Groupe	9	Premier contact	512 Chemin d'Arvigny, 77176 Savigny-le-Temple			OSIRIS		EHPAD 80 lits à Savigny-le-Temple, groupe Clinalliance	EHPAD du groupe Clinalliance (ex-Repotel), Savigny-le-Temple (77)	NETSoins: Non — source: champ DUI='OSIRIS' (logiciel concurrent) renseigné dans le CRM (2026-05-27) ; établissement non équipé NETSoins.	Établir le premier contact avec Anne Leflon	Claude	2026-05-27			https://www.clinalliance.fr	EHPAD	Non	1	Savigny-le-Temple	Île-de-France	France	770811222	Privé commercial	Clinalliance			512 Chemin d'Arvigny, 77176 Savigny-le-Temple	77176	Savigny-le-Temple	77	80					Moyen	2 731,80 €		
lna-villa-epidaure-garches	Villa d'Épidaure Garches	Groupe	50	Premier contact	Garches, 92380		https://fr.linkedin.com/company/groupe-lna-sante	NETSoins		EHPAD 86 lits à Garches, groupe LNA Santé, utilise NETSoins	EHPAD du groupe LNA Santé, Garches (92)	NETSoins: Oui — source: champ DUI='NETSoins' renseigné manuellement dans le CRM lors d'une vérification terrain (2026-05-27).	Établir le premier contact avec Nabila Sidhoum	Claude	2026-05-27			https://www.lna-sante.com	EHPAD	Oui	2	Garches	Île-de-France	France	920812062	Privé commercial	LNA Santé			Garches, 92380	92380	Garches	92	86					Moyen	6 214,50 €		
lna-villa-caudacienne-queue-brie	Villa Caudacienne La Queue-en-Brie	Groupe	50	Premier contact	La Queue-en-Brie, 94510		https://fr.linkedin.com/company/groupe-lna-sante	NETSoins		EHPAD 113 lits à La Queue-en-Brie, groupe LNA Santé, utilise NETSoins	EHPAD du groupe LNA Santé, La Queue-en-Brie (94)	NETSoins: Oui — source: champ DUI='NETSoins' renseigné manuellement dans le CRM lors d'une vérification terrain (2026-05-27).	Établir le premier contact avec Karen Souter	Claude	2026-05-27			https://www.lna-sante.com	EHPAD	Oui	2	La Queue-en-Brie	Île-de-France	France	940022205	Privé commercial	LNA Santé			La Queue-en-Brie, 94510	94510	La Queue-en-Brie	94	113					Grand	2 822,00 €		
lna-residence-sevigne-saint-maur	Résidence Sévigné Saint-Maur	Groupe	50	Premier contact	Saint-Maur-des-Fossés, 94100		https://fr.linkedin.com/company/groupe-lna-sante	NETSoins		EHPAD 101 lits à Saint-Maur-des-Fossés, groupe LNA Santé, utilise NETSoins	EHPAD du groupe LNA Santé, Saint-Maur-des-Fossés (94)	NETSoins: Oui — source: champ DUI='NETSoins' renseigné manuellement dans le CRM lors d'une vérification terrain (2026-05-27).	Établir le premier contact avec Isabelle Bioh-Johnson	Claude	2026-05-27			https://www.lna-sante.com	EHPAD	Oui	2	Saint-Maur-des-Fossés	Île-de-France	France	940813074	Privé commercial	LNA Santé			Saint-Maur-des-Fossés, 94100	94100	Saint-Maur-des-Fossés	94	101					Grand	4 577,40 €		
lna-jardins-ennery	Les Jardins d'Ennery	Groupe	50	Premier contact	Ennery, 95300		https://fr.linkedin.com/company/groupe-lna-sante	NETSoins		EHPAD 142 lits à Ennery, groupe LNA Santé, utilise NETSoins	EHPAD du groupe LNA Santé, Ennery (95)	NETSoins: Oui — source: champ DUI='NETSoins' renseigné manuellement dans le CRM lors d'une vérification terrain (2026-05-27).	Établir le premier contact avec François Rouchette	Claude	2026-05-27			https://www.lna-sante.com	EHPAD	Oui	2	Ennery	Île-de-France	France	950801381	Privé commercial	LNA Santé			Ennery, 95300	95300	Ennery	95	142					Grand	3 015,30  €		
