id	name	type_etablissement	nb_etablissements	funnel_stage	address	phone	linkedin_url	DUI	employees	tagline	summary	notes	next_action	created_by	created_at	updated_by	updated_at	website	industry	uses_netsoins	score_icp	city	region	country
les-jardins-de-provence	Les Jardins de Provence	Groupe		Premier contact		04 94 24 31 59		Inconnu		EHPAD 66 lits à Six-Fours-les-Plages, groupe Alliage Care	EHPAD 66 lits (dont 12 unité Alzheimer). Groupe Alliage Care (ex-Philogéris).		Établir le premier contact avec Séverine Guérin	Claude	2026-05-27	Claude	2026-05-27							
le-verger-de-vincennes	Le Verger de Vincennes	Groupe		Premier contact	21 avenue des Murs du Parc, 94300 Vincennes	01 49 57 27 00		NETSoins		EHPAD 107 lits à Vincennes, groupe LNA Santé	EHPAD 107 lits (102 permanents dont 44 Alzheimer + 5 temporaires). Groupe LNA Santé (~10 sites IDF).		Établir le premier contact avec Margaux Malandain	Claude	2026-05-27	Claude	2026-05-27							
residence-gerhome-courbevoie	Résidence Ger'Home	Groupe		Premier contact	23 rue Jules Lefèvre, 92400 Courbevoie	01 47 89 47 89		NETSoins		EHPAD 106 lits à Courbevoie, groupe LNA Santé	EHPAD 106 lits (+ accueil de jour). Groupe LNA Santé à Courbevoie (92).		Confirmer identité directrice (Nadia Issad) et établir le premier contact	Claude	2026-05-27	Claude	2026-05-27							
arcade-de-fontenay	Résidence Arcade de Fontenay	Groupe		Premier contact	128 rue Boucicaut, 92260 Fontenay-aux-Roses	01 41 13 30 00		NETSoins		EHPAD 75 lits à Fontenay-aux-Roses, groupe LNA Santé	EHPAD 75 lits (59 ouverts + 16 Alzheimer, 5 unités). Groupe LNA Santé.		Établir le premier contact avec Ahmet Gozel	Claude	2026-05-27	Claude	2026-05-27							
villa-concorde-asnieres	Villa Concorde	Groupe		Premier contact	21 rue de la Concorde, 92600 Asnières-sur-Seine	01 41 32 88 00		Inconnu		EHPAD 85 lits à Asnières-sur-Seine, groupe Maisons de Famille	EHPAD 85 lits (dont 23 Alzheimer). Groupe Maisons de Famille (16 sites).		Appeler le 01 41 32 88 00 pour identifier le directeur/la directrice (Villa Concorde)	Claude	2026-05-27	Claude	2026-05-27							
villa-lecourbe-paris	Villa Lecourbe	Groupe		Premier contact	286 rue Lecourbe, 75015 Paris	01 72 36 11 00		Inconnu		EHPAD 45 lits Paris 15e, groupe Maisons de Famille	EHPAD 45 lits. Groupe Maisons de Famille (16 sites).		Établir le premier contact avec Elena Khabi	Claude	2026-05-27	Claude	2026-05-27							
repotel-paris-gambetta	EHPAD Repotel Paris Gambetta	Groupe	9	Premier contact	161/163 avenue Gambetta, 75020 Paris			OSIRIS			EHPAD du groupe Clinalliance (ex-Repotel), Paris 20e		Établir le premier contact avec Julie Gaillard	Claude	2026-05-27									
repotel-gennevilliers	EHPAD Repotel Gennevilliers	Groupe	9	Premier contact	49 rue du Pont d'Argenteuil, 92230 Gennevilliers			OSIRIS			EHPAD du groupe Clinalliance (ex-Repotel), Gennevilliers (92)		Établir le premier contact avec Marie Léonard	Claude	2026-05-27									
repotel-issy-les-moulineaux	EHPAD Repotel Issy-les-Moulineaux	Groupe	9	Premier contact	23 avenue Jean Jaurès, 92130 Issy-les-Moulineaux			OSIRIS			EHPAD du groupe Clinalliance (ex-Repotel), Issy-les-Moulineaux (92)		Identifier le prénom de Mme Guhennec et établir le premier contact	Claude	2026-05-27									
repotel-maurepas	EHPAD Repotel Maurepas	Groupe	9	Premier contact	Square de la Puisaye, 78310 Maurepas			OSIRIS			EHPAD du groupe Clinalliance (ex-Repotel), Maurepas (78)		Établir le premier contact avec Giulia Mitri	Claude	2026-05-27									
repotel-voisins-le-bretonneux	EHPAD Repotel Voisins-le-Bretonneux	Groupe	9	Premier contact	38 rue aux Fleurs, 78960 Voisins-le-Bretonneux			OSIRIS			EHPAD du groupe Clinalliance (ex-Repotel), Voisins-le-Bretonneux (78)		Établir le premier contact avec Giulia Martin-Mitri	Claude	2026-05-27									
repotel-marcoussis	EHPAD Repotel Marcoussis	Groupe	9	Premier contact	30 rue Moutard Martin, 91460 Marcoussis			OSIRIS			EHPAD du groupe Clinalliance (ex-Repotel), Marcoussis (91)		Établir le premier contact avec Myriam Bureau	Claude	2026-05-27									
repotel-brunoy	EHPAD Repotel Brunoy	Groupe	9	Premier contact	3 rue des Godeaux, 91800 Brunoy			OSIRIS			EHPAD du groupe Clinalliance (ex-Repotel), Brunoy (91)		Établir le premier contact avec Raphaëlle Redois	Claude	2026-05-27									
repotel-lieusaint	EHPAD Repotel Lieusaint	Groupe	9	Premier contact	12 allée Perce Neige, 77127 Lieusaint			OSIRIS			EHPAD du groupe Clinalliance (ex-Repotel), Lieusaint (77)		Établir le premier contact avec Mélanie Savignat	Claude	2026-05-27									
repotel-savigny-le-temple	EHPAD Repotel Savigny-le-Temple	Groupe	9	Premier contact	512 Chemin d'Arvigny, 77176 Savigny-le-Temple			OSIRIS			EHPAD du groupe Clinalliance (ex-Repotel), Savigny-le-Temple (77)		Établir le premier contact avec Anne Leflon	Claude	2026-05-27									
lna-villa-epidaure-garches	Villa d'Épidaure Garches	Groupe	50	Premier contact	Garches, 92380			NETSoins			EHPAD du groupe LNA Santé, Garches (92)		Établir le premier contact avec Nabila Sidhoum	Claude	2026-05-27									
lna-villa-caudacienne-queue-brie	Villa Caudacienne La Queue-en-Brie	Groupe	50	Premier contact	La Queue-en-Brie, 94510			NETSoins			EHPAD du groupe LNA Santé, La Queue-en-Brie (94)		Établir le premier contact avec Karen Souter	Claude	2026-05-27									
lna-residence-sevigne-saint-maur	Résidence Sévigné Saint-Maur	Groupe	50	Premier contact	Saint-Maur-des-Fossés, 94100			NETSoins			EHPAD du groupe LNA Santé, Saint-Maur-des-Fossés (94)		Établir le premier contact avec Isabelle Bioh-Johnson	Claude	2026-05-27									
lna-jardins-ennery	Les Jardins d'Ennery	Groupe	50	Premier contact	Ennery, 95300			NETSoins			EHPAD du groupe LNA Santé, Ennery (95)		Établir le premier contact avec François Rouchette	Claude	2026-05-27									
lna-asphodia-yerres	Résidence Asphodia Yerres	Groupe	50	Premier contact	Yerres, 91330			NETSoins			EHPAD du groupe LNA Santé, Yerres (91)		Établir le premier contact avec Joëlle Le Gal	Claude	2026-05-27									
lna-marconi-chatou	Résidence Marconi Chatou	Groupe	50	Premier contact	Chatou, 78400			NETSoins			EHPAD du groupe LNA Santé, Chatou (78)		Établir le premier contact avec Agnès Roos	Claude	2026-05-27									
lna-villa-epidaure-celle-saint-cloud	Villa d'Épidaure La Celle-Saint-Cloud	Groupe	50	Premier contact	La Celle-Saint-Cloud, 78170			NETSoins			EHPAD du groupe LNA Santé, La Celle-Saint-Cloud (78)		Établir le premier contact avec Nabila Sidhoum	Claude	2026-05-27									
lna-berges-danube-serris	Les Berges du Danube Serris	Groupe	50	Premier contact	Serris, 77700			NETSoins			EHPAD du groupe LNA Santé, Serris (77)		Établir le premier contact avec Anaïs Hennequin	Claude	2026-05-27									
lna-meuliere-marne-ferte	La Meulière de la Marne La Ferté-sous-Jouarre	Groupe	50	Premier contact	La Ferté-sous-Jouarre, 77260			NETSoins			EHPAD du groupe LNA Santé, La Ferté-sous-Jouarre (77)		Établir le premier contact avec Bertille Keruzoret	Claude	2026-05-27									
lna-harmonie-moret	Résidence Harmonie Moret-sur-Loing	Groupe	50	Premier contact	Moret-sur-Loing, 77250			NETSoins			EHPAD du groupe LNA Santé, Moret-sur-Loing (77)		Établir le premier contact avec Fabrice Ettori	Claude	2026-05-27									
