id	company_id	DUI	name	job_title	funnel_stage	linkedin	email	phone	temperature	recap	next_action	website	source	created_by	created_at	updated_by	updated_at
margaux-malandain	le-verger-de-vincennes	NETSoins	Margaux Malandain	Directrice		https://www.linkedin.com/in/margaux-malandain-12115730/					Établir le premier contact		Autre	me	2026-05-27	Claude	2026-05-27
severine-guerin	les-jardins-de-provence	Inconnu	Séverine Guérin	Directrice		https://fr.linkedin.com/in/s%C3%A9verine-guerin-18991770				Email trouvé sous ancien domaine @philogeris.com — à vérifier (groupe renommé Alliage Care).	Établir le premier contact		Autre	Claude	2026-05-27	Claude	2026-05-27
nadia-issad	residence-gerhome-courbevoie	NETSoins	Nadia Issad	Directrice		https://fr.linkedin.com/in/nadia-issad-070131a3				Confirmée directrice sur le site officiel de Ger'Home. LinkedIn probable (plusieurs homonymes — vérifier).	Établir le premier contact		Autre	Claude	2026-05-27	Claude	2026-05-28
ahmet-gozel	arcade-de-fontenay	NETSoins	Ahmet Gozel	Directeur		https://www.linkedin.com/in/ahmet-gozel-77241119a/				Confirmé directeur via réponses aux avis clients (début 2025).	Établir le premier contact		Autre	Claude	2026-05-27	Claude	2026-05-27
elena-khabi	villa-lecourbe-paris	Inconnu	Elena Khabi	Directrice		https://www.linkedin.com/in/elena-khabi-7a1a21140/				Confirmée directrice sur site officiel Maisons de Famille et LinkedIn.	Établir le premier contact		Autre	Claude	2026-05-27	Claude	2026-05-27
gaillard-repotel-paris-gambetta	repotel-paris-gambetta	OSIRIS	Julie Gaillard	Directrice	Premier contact	https://fr.linkedin.com/in/gaillard-julie-26864041					Établir le premier contact avec Julie Gaillard		Enrichissement Claude	Claude	2026-05-27	Claude	2026-05-28
marie-leonard-repotel-gennevilliers	repotel-gennevilliers	OSIRIS	Marie Léonard	Directeur/Directrice	Premier contact						Établir le premier contact avec Marie Léonard		Enrichissement Claude	Claude	2026-05-27		
guhennec-repotel-issy	repotel-issy-les-moulineaux	OSIRIS	Mme Guhennec	Directeur/Directrice	Premier contact						Identifier le prénom de Mme Guhennec et établir le premier contact		Enrichissement Claude	Claude	2026-05-27		
giulia-mitri-repotel-maurepas	repotel-maurepas	OSIRIS	Giulia Martin-Mitri	Directrice	Premier contact	https://fr.linkedin.com/in/giulia-martin-mitri-78811a74					Établir le premier contact avec Giulia Martin-Mitri		Enrichissement Claude	Claude	2026-05-27	Claude	2026-05-28
mitri-repotel-voisins	repotel-voisins-le-bretonneux	OSIRIS	Giulia Martin-Mitri	Directrice	Premier contact	https://fr.linkedin.com/in/giulia-martin-mitri-78811a74					Établir le premier contact avec Giulia Martin-Mitri		Enrichissement Claude	Claude	2026-05-27	Claude	2026-05-28
myriam-bureau-repotel-marcoussis	repotel-marcoussis	OSIRIS	Myriam Bureau	Directrice	Premier contact	https://fr.linkedin.com/in/myriam-bureau-441863227					Établir le premier contact avec Myriam Bureau		Enrichissement Claude	Claude	2026-05-27	Claude	2026-05-28
raphaelle-redois-repotel-brunoy	repotel-brunoy	OSIRIS	Raphaëlle Redois	Directrice	Premier contact	https://www.linkedin.com/in/rapha%C3%ABlle-redois-aa2791139/					Établir le premier contact avec Raphaëlle Redois		Enrichissement Claude	Claude	2026-05-27	Claude	2026-05-28
melanie-savignat-repotel-lieusaint	repotel-lieusaint	OSIRIS	Mélanie Savignat	Directrice	Premier contact	https://www.linkedin.com/in/m%C3%A9lanie-savignat-b78143186/					Établir le premier contact avec Mélanie Savignat		Enrichissement Claude	Claude	2026-05-27	Claude	2026-05-28
leflon-repotel-savigny	repotel-savigny-le-temple	OSIRIS	Anne Leflon	Directrice	Premier contact	https://fr.linkedin.com/in/anne-leflon-2a99a074					Établir le premier contact avec Anne Leflon		Enrichissement Claude	Claude	2026-05-27	Claude	2026-05-28
nabila-sidhoum-villa-epidaure-garches	lna-villa-epidaure-garches	NETSoins	Nabila Sidhoum	Directrice	Premier contact	https://fr.linkedin.com/in/nabila-sidhoum-5330baa3					Établir le premier contact avec Nabila Sidhoum		Enrichissement Claude	Claude	2026-05-27	Claude	2026-05-28
